
Ranked Millionaire for Life ticket candidates
------------------------------------------------------------------------------------------------------------
Rank  Type          Ticket                              Score         Model         Overdue       
------------------------------------------------------------------------------------------------------------
1     balanced      01 27 31 32 54                      0.38517500    0.34183151    0.13712575    
2     balanced      01 27 31 32 52                      0.38200029    0.33247188    0.17844311    
3     balanced      08 27 31 32 51                      0.38141767    0.26963228    0.34910180    
4     balanced      05 27 31 32 52                      0.38134420    0.28170645    0.37604790    
5     balanced      05 27 31 32 54                      0.38063191    0.29106608    0.33473054    
6     balanced      01 27 31 32 56                      0.37908460    0.32687125    0.15748503    
7     balanced      02 27 31 32 51                      0.37829953    0.26875442    0.31616766    
8     balanced      01 27 31 32 40                      0.37762548    0.31840366    0.23053892    
9     balanced      05 27 31 32 56                      0.37691439    0.27610582    0.35508982    
10    balanced      01 05 31 32 54                      0.37506050    0.28784004    0.28742515    
11    balanced      05 26 31 32 51                      0.37479735    0.21977651    0.45988024    
12    balanced      01 27 31 32 50                      0.37453597    0.32376814    0.14910180    
13    balanced      06 27 31 32 51                      0.37443443    0.27035084    0.31077844    
14    balanced      08 27 31 32 49                      0.37338475    0.29068628    0.26766467    
15    balanced      08 27 31 32 45                      0.37286215    0.29272005    0.25988024    
16    balanced      01 26 31 32 51                      0.37278678    0.27054197    0.26227545    
17    balanced      05 27 31 32 50                      0.37254654    0.27300271    0.34670659    
18    balanced      05 08 31 32 51                      0.37252351    0.21564081    0.49940120    
19    balanced      01 05 31 32 52                      0.37188579    0.27848041    0.32874251    
20    balanced      01 27 31 32 38                      0.37167864    0.32345873    0.18742515    
21    balanced      01 29 31 32 54                      0.37109217    0.30435199    0.12455090    
22    balanced      05 27 31 32 40                      0.37098288    0.26763824    0.42814371    
23    balanced      01 19 31 32 54                      0.37046562    0.29001957    0.13892216    
24    balanced      02 27 31 32 54                      0.36973891    0.29132089    0.18742515    
25    balanced      01 29 31 32 52                      0.36925080    0.29499239    0.16586826    
26    balanced      08 27 31 32 54                      0.36908304    0.29219875    0.22035928    
27    balanced      08 27 31 32 52                      0.36886878    0.28283912    0.26167665    
28    balanced      01 26 31 32 54                      0.36822615    0.29310840    0.13353293    
29    balanced      05 24 31 32 51                      0.36817383    0.21508446    0.46946108    
30    balanced      01 08 31 32 51                      0.36784627    0.26640624    0.30179641    
31    balanced      05 27 31 32 51                      0.36774620    0.26849961    0.46347305    
32    balanced      02 27 31 32 49                      0.36771293    0.28980842    0.23473054    
33    balanced      01 05 31 32 40                      0.36751097    0.26441219    0.38083832    
34    balanced      02 05 31 32 51                      0.36685168    0.21476293    0.46646707    
35    balanced      08 27 31 32 56                      0.36669887    0.27723852    0.24071856    
36    balanced      01 05 31 32 56                      0.36630343    0.27287978    0.30778443    
37    balanced      01 02 31 32 51                      0.36617445    0.26552838    0.26886228    
38    balanced      08 27 31 32 47                      0.36613990    0.25895160    0.31556886    
39    balanced      05 29 31 32 52                      0.36604104    0.24422696    0.36347305    
40    balanced      01 05 32 51 54                      0.36598259    0.20937821    0.37305389    
41    balanced      02 27 31 32 45                      0.36593797    0.29184219    0.22694611    
42    balanced      02 27 31 32 56                      0.36590841    0.27636066    0.20778443    
43    balanced      05 19 31 32 54                      0.36580952    0.23925412    0.33652695    
44    balanced      01 26 31 32 45                      0.36575855    0.29362971    0.17305389    
45    balanced      01 27 31 32 51                      0.36573562    0.31926504    0.26586826    
46    balanced      08 29 31 32 51                      0.36570773    0.23215279    0.33652695    
47    balanced      05 27 32 34 51                      0.36570006    0.18075328    0.52814371    
48    balanced      02 29 31 32 51                      0.36555003    0.23127492    0.30359281    
49    balanced      16 27 31 32 51                      0.36524597    0.26823020    0.31017964    
50    balanced      02 27 31 32 52                      0.36523087    0.28196126    0.22874251    
51    balanced      06 27 31 32 49                      0.36518116    0.29140481    0.22934132    
52    balanced      01 26 31 32 52                      0.36505145    0.28374881    0.17485030    
53    balanced      07 27 31 32 52                      0.36497100    0.28149998    0.25329341    
54    balanced      05 16 31 32 51                      0.36484679    0.21423873    0.46047904    
55    balanced      01 24 31 32 51                      0.36482992    0.26584989    0.27185629    
56    balanced      01 27 31 32 34                      0.36476236    0.30998051    0.24491018    
57    balanced      06 27 31 32 45                      0.36473954    0.29343861    0.22155689    
58    balanced      01 19 31 32 52                      0.36462424    0.28065994    0.18023952    
59    balanced      05 27 31 32 38                      0.36454483    0.27269334    0.38502994    
60    balanced      05 26 31 32 54                      0.36449662    0.24234298    0.33113772    
61    balanced      05 27 32 40 51                      0.36445645    0.18917641    0.51377246    
62    balanced      05 26 31 32 52                      0.36439535    0.23298335    0.37245509    
63    balanced      05 06 31 32 51                      0.36431992    0.21635935    0.46107784    
64    balanced      05 27 32 38 51                      0.36421771    0.19423153    0.47065868    
65    balanced      01 27 30 31 32                      0.36402953    0.33717903    0.13832335    
66    balanced      08 26 31 32 51                      0.36394906    0.22090919    0.34550898    
67    balanced      07 27 31 32 54                      0.36385192    0.29085961    0.21197605    
68    balanced      06 27 31 32 54                      0.36383992    0.29291731    0.18203593    
69    balanced      05 26 31 32 45                      0.36376913    0.24286428    0.37065868    
70    balanced      06 27 31 32 52                      0.36362566    0.28355768    0.22335329    
71    balanced      05 29 31 32 54                      0.36358863    0.25358659    0.32215569    
72    balanced      01 29 31 32 40                      0.36354264    0.28092414    0.21796407    
73    balanced      01 08 31 32 54                      0.36328565    0.28897271    0.17305389    
74    balanced      01 27 32 40 51                      0.36303345    0.23994187    0.31616766    
75    balanced      01 26 31 32 47                      0.36295533    0.25986126    0.22874251    
76    balanced      01 02 31 32 54                      0.36294717    0.28809485    0.14011976    
77    balanced      01 24 31 32 54                      0.36293596    0.28841633    0.14311377    
78    balanced      05 26 31 32 49                      0.36287740    0.24083047    0.37844311    
79    balanced      01 16 31 32 51                      0.36283622    0.26500419    0.26287425    
80    balanced      05 27 30 32 51                      0.36275976    0.20795178    0.42155689    
