
Ranked Millionaire for Life ticket candidates
------------------------------------------------------------------------------------------------------------
Rank  Type          Ticket                              Score         Model         Overdue       
------------------------------------------------------------------------------------------------------------
1     hot           01 19 31 32 54                      0.17809338    0.29001957    0.13892216    
2     hot           01 30 31 32 54                      0.17753704    0.31616861    0.08922156    
3     hot           01 31 32 45 54                      0.17717642    0.32134238    0.12754491    
4     hot           01 02 31 32 54                      0.17686738    0.28809485    0.14011976    
5     hot           01 27 31 32 54                      0.17603314    0.34183151    0.13712575    
6     hot           01 18 31 32 54                      0.17574589    0.30143985    0.09221557    
7     hot           01 31 32 51 54                      0.17554795    0.29825461    0.21676647    
8     hot           01 27 30 31 32                      0.17307145    0.33717903    0.13832335    
9     hot           01 18 30 31 32                      0.17278419    0.29678735    0.09341317    
10    hot           01 30 31 32 45                      0.17041538    0.31668991    0.12874251    
11    hot           01 27 31 32 45                      0.16971091    0.34235281    0.17664671    
12    hot           01 18 27 31 32                      0.16924641    0.32245031    0.14131737    
13    hot           01 19 31 32 38                      0.16922830    0.27164680    0.18922156    
14    hot           01 02 31 32 51                      0.16849013    0.26552838    0.26886228    
15    hot           01 27 31 32 51                      0.16848922    0.31926504    0.26586826    
16    hot           01 31 32 52 54                      0.16809256    0.31146145    0.12934132    
17    hot           02 31 32 51 54                      0.16754942    0.24774396    0.26706587    
18    hot           01 30 31 32 52                      0.16747276    0.30680898    0.13053892    
19    hot           01 18 31 32 51                      0.16736863    0.27887338    0.22095808    
20    hot           01 26 31 32 54                      0.16692901    0.29310840    0.13353293    
21    hot           01 29 31 32 54                      0.16690181    0.30435199    0.12455090    
22    hot           01 05 31 32 54                      0.16669957    0.28784004    0.28742515    
23    hot           01 19 30 31 32                      0.16663168    0.28536707    0.14011976    
24    hot           01 30 31 32 51                      0.16636035    0.29360214    0.21796407    
25    hot           01 31 32 54 56                      0.16619418    0.30586082    0.10838323    
26    hot           01 27 31 32 52                      0.16593496    0.33247188    0.17844311    
27    hot           01 18 31 32 45                      0.16575699    0.30196115    0.13173653    
28    hot           01 31 32 47 54                      0.16567005    0.28757390    0.18323353    
29    hot           01 18 31 32 52                      0.16564770    0.29208022    0.13353293    
30    hot           01 18 19 31 32                      0.16563996    0.27063832    0.14311377    
31    hot           01 02 30 31 32                      0.16540568    0.28344235    0.14131737    
32    hot           01 31 32 40 54                      0.16521059    0.29739323    0.18143713    
33    hot           01 02 32 51 54                      0.16470202    0.20963302    0.22574850    
34    hot           01 08 31 32 54                      0.16465606    0.28897271    0.17305389    
35    hot           01 31 32 38 54                      0.16461490    0.30244833    0.13832335    
36    hot           01 31 32 45 52                      0.16438050    0.31198275    0.16886228    
37    hot           01 30 31 32 49                      0.16430822    0.31465611    0.13652695    
38    hot           01 27 31 32 56                      0.16430777    0.32687125    0.15748503    
39    hot           01 31 32 37 54                      0.16424072    0.28864434    0.14251497    
40    hot           01 29 30 31 32                      0.16394013    0.29969954    0.12574850    
41    hot           01 19 27 31 32                      0.16392722    0.31103000    0.18802395    
42    hot           01 30 31 32 40                      0.16377724    0.29274076    0.18263473    
43    hot           01 05 30 31 32                      0.16373788    0.28318754    0.28862275    
44    hot           01 19 31 32 45                      0.16327115    0.29054087    0.17844311    
45    hot           01 27 31 32 50                      0.16325208    0.32376814    0.14910180    
46    hot           01 18 31 32 47                      0.16288622    0.26819271    0.18742515    
47    hot           01 31 32 51 52                      0.16275203    0.28889498    0.25808383    
48    hot           01 31 32 45 56                      0.16248212    0.30638212    0.14790419    
49    hot           01 19 31 32 52                      0.16232853    0.28065994    0.18023952    
50    hot           01 31 32 49 54                      0.16229808    0.31930858    0.13532934    
51    hot           01 27 31 32 40                      0.16223944    0.31840366    0.23053892    
52    hot           01 29 31 32 51                      0.16219123    0.28178555    0.25329341    
53    hot           01 31 32 38 51                      0.16210771    0.27988186    0.26706587    
54    hot           01 19 31 32 51                      0.16204946    0.26745310    0.26766467    
55    hot           01 30 31 32 47                      0.16187794    0.28292143    0.18443114    
56    hot           01 02 27 31 32                      0.16186790    0.30910531    0.18922156    
57    hot           01 02 18 31 32                      0.16158064    0.26871362    0.14431138    
58    hot           01 19 31 32 40                      0.16146634    0.26659173    0.23233533    
59    hot           01 26 31 32 51                      0.16138510    0.27054197    0.26227545    
60    hot           01 31 32 45 51                      0.16133589    0.29877591    0.25628743    
61    hot           01 27 29 31 32                      0.16123566    0.32536244    0.17365269    
62    hot           01 18 31 32 38                      0.16121415    0.28306711    0.14251497    
63    hot           01 02 31 32 45                      0.16121181    0.28861615    0.17964072    
64    hot           01 18 31 32 56                      0.16118719    0.28647962    0.11257485    
65    hot           01 27 31 32 47                      0.16117347    0.30858433    0.23233533    
66    hot           01 02 19 31 32                      0.16109479    0.25729331    0.19101796    
67    hot           01 19 31 32 37                      0.16098471    0.25784284    0.19341317    
68    hot           27 31 32 51 54                      0.16083065    0.30148062    0.26407186    
69    hot           01 27 31 32 49                      0.16077042    0.34031901    0.18443114    
70    hot           01 26 27 31 32                      0.16042953    0.31411886    0.18263473    
71    hot           01 19 31 32 47                      0.16040037    0.25677240    0.23413174    
72    hot           01 30 31 32 38                      0.16020586    0.29779583    0.13952096    
73    hot           01 18 29 31 32                      0.16011508    0.28497082    0.12874251    
74    hot           18 27 31 32 51                      0.16011078    0.28209943    0.26826347    
75    hot           01 06 31 32 54                      0.16001840    0.28969127    0.13473054    
76    hot           01 30 31 32 56                      0.16000941    0.30120835    0.10958084    
77    hot           01 31 32 45 47                      0.15995799    0.28809521    0.22275449    
78    hot           01 05 18 31 32                      0.15991283    0.26845881    0.29161677    
79    hot           01 31 32 34 45                      0.15989540    0.28949139    0.23532934    
80    hot           01 31 32 50 54                      0.15987861    0.30275771    0.10000000    
81    hot           01 31 32 40 51                      0.15987007    0.27482677    0.31017964    
82    hot           01 26 31 32 45                      0.15977345    0.29362971    0.17305389    
83    hot           02 27 31 32 51                      0.15972516    0.26875442    0.31616766    
84    hot           01 29 31 32 52                      0.15963697    0.29499239    0.16586826    
85    hot           18 31 32 51 54                      0.15953482    0.26108900    0.21916168    
86    hot           01 05 31 32 51                      0.15915566    0.26527357    0.41616766    
87    hot           01 18 31 32 40                      0.15911885    0.27801201    0.18562874    
88    hot           01 08 31 32 51                      0.15911214    0.26640624    0.30179641    
89    hot           01 08 30 31 32                      0.15886103    0.28432021    0.17425150    
90    hot           01 27 31 32 38                      0.15866806    0.32345873    0.18742515    
91    hot           01 31 32 40 45                      0.15866520    0.29791453    0.22095808    
92    hot           01 02 29 31 32                      0.15840324    0.27162582    0.17664671    
93    hot           01 02 31 32 47                      0.15834105    0.25484771    0.23532934    
94    hot           01 26 30 31 32                      0.15830067    0.28845596    0.13473054    
95    hot           01 02 31 32 52                      0.15826920    0.27873522    0.18143713    
96    hot           01 31 32 34 54                      0.15824588    0.28897008    0.19580838    
97    hot           01 05 27 31 32                      0.15820009    0.30885047    0.33652695    
98    hot           01 08 27 31 32                      0.15815658    0.30998316    0.22215569    
99    hot           01 31 32 38 45                      0.15803561    0.30296963    0.17784431    
100   hot           01 08 18 31 32                      0.15786932    0.26959148    0.17724551    
------------------------------------------------------------------------------------------------------------
Detected game range: main 1-58, 5 main numbers, no extra number modeled
Reminder: this ranks historical-pattern candidates; lottery results are random.
