Number,Count,Consecutive_Repeats,Repeat_Hits_In_Draw
32,219,25,0
18,230,18,0
20,234,17,0
13,237,31,0
14,237,26,0
3,240,23,0
4,240,21,0
10,240,15,0
37,240,18,0
28,241,25,0
29,244,29,0
21,245,29,0
41,247,29,0
40,250,23,0
2,252,33,0
9,254,21,0
15,254,33,0
35,254,33,0
1,255,31,0
5,256,26,0
25,256,29,0
31,256,25,0
43,256,29,0
16,257,27,0
27,257,27,0
42,257,35,0
38,259,33,0
8,261,23,0
36,262,39,0
26,263,29,0
30,263,36,0
34,263,36,0
19,264,26,0
23,264,30,0
12,265,24,0
7,266,28,0
33,266,37,0
17,267,32,0
44,270,31,0
6,276,28,0
45,283,45,0
39,284,36,0
24,285,30,0
22,287,37,0
11,294,34,0
