Date,Draw,Num1,Num2,Num3,Num4
2026-08-09,Night,1,8,2,0
2026-08-09,Day,9,2,9,0
2026-08-08,Night,0,1,5,1
2026-08-08,Day,5,1,4,2
2026-08-07,Night,2,6,4,1
2026-08-07,Day,1,9,7,9
2026-08-06,Night,6,3,7,6
2026-08-06,Day,1,5,9,5
2026-08-05,Night,1,5,0,3
2026-08-05,Day,0,5,6,5
2026-08-04,Night,9,6,2,7
2026-08-04,Day,2,7,4,0
2026-08-03,Night,6,2,0,9
2026-08-03,Day,2,9,2,2
2026-08-02,Night,6,4,9,1
2026-08-02,Day,6,5,6,1
2026-08-01,Night,6,8,7,4
2026-08-01,Day,8,1,0,0
2026-07-31,Night,0,6,3,6
2026-07-31,Day,4,4,2,1
2026-07-30,Night,3,1,4,4
2026-07-30,Day,7,1,2,1
2026-07-29,Night,6,6,8,2
2026-07-29,Day,2,6,2,7
2026-07-28,Night,6,1,5,3
2026-07-28,Day,5,8,7,7
2026-07-27,Night,7,4,2,5
2026-07-27,Day,0,5,2,7
2026-07-26,Night,8,5,6,9
2026-07-26,Day,5,1,2,0
2026-07-25,Night,7,8,1,0
2026-07-25,Day,0,6,8,1
2026-07-24,Night,5,9,8,8
2026-07-24,Day,4,0,4,1
2026-07-23,Night,4,6,3,3
2026-07-23,Day,3,0,3,8
2026-07-22,Night,7,6,8,0
2026-07-22,Day,2,0,8,0
2026-07-21,Night,5,9,7,3
2026-07-21,Day,5,3,3,5
2026-07-20,Night,0,3,8,5
2026-07-20,Day,7,5,4,6
2026-07-19,Night,6,8,2,3
2026-07-19,Day,2,7,8,3
2026-07-18,Night,8,9,6,0
2026-07-18,Day,1,7,9,8
2026-07-17,Night,4,1,2,2
2026-07-17,Day,8,1,1,8
2026-07-16,Night,5,5,4,6
2026-07-16,Day,7,5,1,4
2026-07-15,Night,1,6,7,6
2026-07-15,Day,7,0,1,8
2026-07-14,Night,8,0,5,4
2026-07-14,Day,2,8,6,8
2026-07-13,Night,4,9,2,7
2026-07-13,Day,2,6,8,4
2026-07-12,Night,5,2,7,4
2026-07-12,Day,7,4,1,6
2026-07-11,Night,2,1,8,5
2026-07-11,Day,2,0,9,2
2026-07-10,Night,4,0,4,3
2026-07-10,Day,0,9,7,2
2026-07-09,Night,0,0,9,0
2026-07-09,Day,3,0,7,5
2026-07-08,Night,3,3,1,6
2026-07-08,Day,8,8,8,6
2026-07-07,Night,5,1,4,9
2026-07-07,Day,6,1,5,5
2026-07-06,Night,2,2,4,0
2026-07-06,Day,5,8,7,5
2026-07-05,Night,2,8,2,2
2026-07-05,Day,1,7,7,4
