Date,Num1,Num2,Num3,Num4,Num5,StarBall
2026-05-27,2,27,32,37,48,8
2026-05-25,16,23,27,36,41,1
2026-05-23,5,16,24,32,41,4
2026-05-20,5,14,26,39,46,6
2026-05-18,23,27,29,36,51,7
2026-05-16,1,4,24,31,46,2
2026-05-13,17,18,28,37,42,4
2026-05-11,16,19,22,34,46,1
2026-05-09,8,12,13,27,42,4
2026-05-06,3,6,7,18,49,10
2026-05-04,9,10,12,50,52,3
2026-05-02,4,18,35,43,50,8
2026-04-29,6,19,24,30,48,4
2026-04-27,20,25,26,31,36,1
2026-04-25,3,15,23,32,36,4
2026-04-22,15,20,32,46,48,4
2026-04-20,5,7,31,41,43,7
2026-04-18,18,21,22,32,42,10
2026-04-15,17,18,31,46,51,2
2026-04-13,1,18,19,35,50,9
2026-04-11,1,21,26,29,32,6
2026-04-08,14,27,40,46,47,2
2026-04-06,22,33,38,44,50,7
2026-04-04,6,31,35,36,40,10
2026-04-01,26,34,39,42,51,5
2026-03-30,1,21,44,47,48,4
2026-03-28,15,29,30,32,35,9
2026-03-25,2,4,9,30,43,4
2026-03-23,3,6,10,32,34,9
2026-03-21,3,11,13,27,52,9
2026-03-18,16,18,29,31,39,7
2026-03-16,14,20,22,29,44,7
2026-03-14,8,9,25,36,44,10
2026-03-11,1,3,22,28,40,7
2026-03-09,3,4,11,20,24,10
2026-03-07,6,8,17,18,45,5
2026-03-04,33,38,39,47,51,7
2026-03-02,3,8,17,24,34,6
2026-02-28,3,5,18,43,51,4
2026-02-25,31,32,41,48,51,6
2026-02-23,2,13,43,46,49,8
2026-02-21,5,14,21,24,34,7
2026-02-18,6,14,19,25,44,6
2026-02-16,1,7,18,36,40,3
2026-02-14,2,4,7,49,51,9
2026-02-11,2,14,28,41,51,2
2026-02-09,2,7,26,28,34,1
2026-02-07,7,22,26,38,41,1
2026-02-04,2,14,30,43,45,10
2026-02-02,10,30,40,47,50,1
2026-01-31,7,21,47,48,49,3
2026-01-28,25,31,33,36,41,2
2026-01-26,2,12,15,27,48,9
