Date,Num1,Num2,Num3,Num4,Num5,MegaBall
2026-06-26,5,13,30,33,52,6
2026-06-23,48,51,60,63,66,20
2026-06-19,13,16,21,26,50,12
2026-06-16,12,20,53,67,70,12
2026-06-12,9,17,24,39,51,3
2026-06-09,9,30,36,38,40,3
2026-06-05,13,30,50,52,66,2
2026-06-02,15,26,43,48,60,12
2026-05-29,19,24,47,59,65,7
2026-05-26,1,5,49,51,59,7
2026-05-22,3,22,34,54,61,8
2026-05-19,10,26,34,56,64,6
2026-05-15,17,23,25,52,61,3
2026-05-12,17,32,35,40,47,17
2026-05-08,37,47,49,51,58,16
2026-05-05,12,22,50,51,55,10
2026-05-01,16,21,27,41,61,24
2026-04-28,14,36,41,47,66,15
2026-04-24,7,16,32,35,40,12
2026-04-21,1,36,43,56,58,7
2026-04-17,38,43,44,49,62,8
2026-04-14,17,21,24,57,69,12
2026-04-10,3,18,36,42,49,6
2026-04-07,5,15,22,33,37,2
2026-04-03,31,45,62,63,68,15
2026-03-31,18,35,45,60,65,17
2026-03-27,13,27,28,41,62,16
2026-03-24,4,13,52,53,69,10
2026-03-20,11,20,51,55,63,4
2026-03-17,4,11,18,38,50,24
2026-03-13,6,19,36,40,55,9
2026-03-10,16,21,30,35,65,7
2026-03-06,8,19,26,38,42,24
2026-03-03,7,21,53,54,62,16
2026-02-27,11,18,39,43,67,23
2026-02-24,12,39,43,49,55,23
2026-02-20,15,40,48,58,63,2
2026-02-17,3,37,44,52,63,14
2026-02-13,34,40,49,59,68,1
2026-02-10,5,25,30,36,68,6
2026-02-06,13,21,25,52,62,19
2026-02-03,5,11,22,25,69,21
2026-01-30,11,34,36,43,63,13
2026-01-27,4,20,38,56,66,5
2026-01-23,30,42,49,53,66,4
2026-01-20,8,47,50,56,70,12
2026-01-16,2,22,33,42,67,1
2026-01-13,16,40,56,64,66,4
2026-01-09,12,30,36,42,47,16
2026-01-06,9,39,47,58,68,24
2026-01-02,6,13,34,43,52,4
2025-12-30,18,43,49,63,69,6
2025-12-26,9,19,31,63,64,7
2025-12-23,15,37,38,41,64,21
2025-12-19,1,11,27,39,59,18
2025-12-16,20,24,46,59,65,7
2025-12-12,10,50,55,58,59,5
2025-12-09,19,32,41,49,66,6
2025-12-05,34,38,42,44,69,8
2025-12-02,17,25,26,53,60,16
2025-11-28,6,7,13,39,48,4
2025-11-25,11,15,31,32,59,18
2025-11-21,3,4,19,31,63,9
2025-11-18,5,10,23,27,30,10
2025-11-14,1,8,11,12,57,7
2025-11-11,10,13,40,42,46,1
2025-11-07,16,21,23,48,70,5
2025-11-04,11,14,17,50,57,6
2025-10-31,2,24,52,66,68,9
2025-10-28,2,19,33,53,61,14
2025-10-24,11,18,31,51,56,24
2025-10-21,2,18,27,34,59,18
2025-10-17,9,21,27,48,56,10
2025-10-14,12,22,49,57,58,19
2025-10-10,3,18,23,32,56,8
2025-10-07,17,26,33,45,56,19
2025-10-03,18,19,38,54,57,19
2025-09-30,4,8,27,37,63,14
2025-09-26,4,21,27,33,49,21
2025-09-23,13,24,41,42,70,18
2025-09-19,2,22,27,42,58,8
2025-09-16,10,14,34,40,43,5
2025-09-12,17,18,21,42,64,7
2025-09-09,6,43,52,64,65,22
2025-09-05,6,14,36,58,62,24
2025-09-02,7,17,35,40,64,23
2025-08-29,13,31,32,44,45,21
2025-08-26,7,12,30,40,69,17
2025-08-22,18,30,44,48,50,12
2025-08-19,10,19,24,49,68,10
2025-08-15,4,17,27,34,69,16
2025-08-12,1,8,31,56,67,23
2025-08-08,2,6,8,14,49,12
2025-08-05,12,27,42,59,65,2
2025-08-01,18,27,29,33,70,22
2025-07-29,17,30,34,63,67,11
2025-07-25,14,21,25,49,52,7
2025-07-22,22,41,42,59,69,17
2025-07-18,11,43,54,55,63,3
2025-07-15,6,10,24,35,43,1
2025-07-11,12,23,24,31,56,1
2025-07-08,4,6,38,44,62,24
2025-07-04,17,20,24,41,42,24
2025-07-01,19,28,31,39,54,5
2025-06-27,18,21,29,42,50,2
2025-06-24,10,11,18,24,60,20
2025-06-20,26,49,58,61,63,9
2025-06-17,16,23,39,46,55,12
2025-06-13,8,10,22,40,47,1
2025-06-10,10,11,14,38,45,24
2025-06-06,16,40,54,56,57,3
2025-06-03,16,24,29,36,45,13
2025-05-30,2,28,37,38,58,13
2025-05-27,6,28,34,48,62,9
2025-05-23,7,18,40,55,68,18
2025-05-20,18,30,33,55,64,11
2025-05-16,2,22,42,62,66,14
2025-05-13,6,29,33,47,68,20
2025-05-09,9,10,12,48,60,16
2025-05-06,16,17,43,46,58,16
2025-05-02,14,37,40,41,68,2
2025-04-29,16,33,40,51,57,10
2025-04-25,38,40,60,62,70,9
2025-04-22,25,39,49,52,65,22
2025-04-18,5,13,15,17,28,1
2025-04-15,6,10,13,24,63,2
2025-04-11,15,37,38,56,58,19
2025-04-08,10,16,50,60,61,17
2025-04-04,11,28,35,37,69,25
2025-04-01,11,12,21,29,49,3
2025-03-28,2,9,31,60,63,23
2025-03-25,1,5,17,39,62,8
2025-03-21,15,22,31,52,57,2
2025-03-18,27,28,31,32,33,24
2025-03-14,3,70,39,42,17,1
2025-03-11,69,26,38,1,19,15
2025-03-07,8,20,58,48,60,7
2025-03-04,70,47,19,14,52,6
2025-02-28,9,30,19,35,66,16
2025-02-25,52,32,4,8,11,13
2025-02-21,46,13,37,28,1,10
2025-02-18,1,61,20,58,25,22
2025-02-14,19,49,11,31,56,16
2025-02-11,70,7,41,30,39,13
2025-02-07,4,32,55,24,41,16
2025-02-04,53,31,24,14,54,1
2025-01-31,28,56,9,48,63,2
2025-01-28,10,31,19,56,47,6
2025-01-24,52,8,12,43,62,18
2025-01-21,65,27,30,64,56,22
2025-01-17,8,10,37,54,69,22
2025-01-14,14,4,62,49,35,6
2025-01-10,65,23,39,9,66,22
2025-01-07,24,39,48,33,20,18
2025-01-03,20,46,59,42,69,19
2024-12-31,35,22,13,29,27,1
2024-12-27,55,7,3,37,49,6
2024-12-24,38,45,14,46,11,3
2024-12-20,51,2,67,56,20,19
2024-12-17,68,67,56,69,66,18
2024-12-13,36,43,58,52,65,16
2024-12-10,12,48,26,52,14,21
2024-12-06,45,39,21,33,16,24
2024-12-03,52,66,61,67,60,23
2024-11-29,34,3,37,38,29,17
2024-11-26,24,39,5,42,22,3
2024-11-22,20,65,13,32,26,2
2024-11-19,35,59,50,51,5,8
2024-11-15,5,17,55,35,69,19
2024-11-12,64,33,31,68,18,17
2024-11-08,25,42,64,69,28,19
2024-11-05,2,24,58,52,25,9
2024-11-01,11,22,51,46,42,4
2024-10-29,56,26,36,16,22,1
2024-10-25,23,26,43,35,41,7
2024-10-22,48,8,43,60,58,4
2024-10-18,58,39,26,9,4,23
2024-10-15,44,34,22,54,62,3
2024-10-11,52,29,10,3,57,20
2024-10-08,20,66,3,22,19,9
2024-10-04,45,21,43,39,42,3
2024-10-01,47,50,35,66,27,25
2024-09-27,53,70,69,29,46,23
2024-09-24,10,23,1,27,6,18
2024-09-20,21,55,40,49,20,11
2024-09-17,14,31,64,57,48,9
2024-09-13,66,57,56,55,21,1
2024-09-10,16,1,66,2,24,6
2024-09-06,41,59,6,63,23,25
2024-09-03,41,12,43,52,55,9
2024-08-30,20,54,10,17,24,8
2024-08-27,18,65,21,54,16,5
2024-08-23,69,66,28,44,30,2
2024-08-20,51,20,26,49,5,24
2024-08-16,51,61,38,48,22,5
2024-08-13,70,34,55,65,59,12
2024-08-09,12,38,32,57,40,21
2024-08-06,23,70,36,29,61,22
2024-08-02,44,6,54,24,7,13
2024-07-30,23,19,30,33,50,25
2024-07-26,65,58,14,2,33,3
2024-07-23,26,9,14,3,51,21
2024-07-19,10,17,23,50,67,3
2024-07-16,5,58,66,42,35,22
2024-07-12,35,48,53,15,68,8
2024-07-09,64,26,54,60,21,3
2024-07-05,32,54,6,15,67,4
2024-07-02,19,31,45,8,4,11
2024-06-28,66,28,33,31,42,24
2024-06-25,27,16,3,47,62,8
2024-06-21,3,40,27,18,44,19
2024-06-18,50,22,67,21,55,20
2024-06-14,31,1,65,25,26,2
2024-06-11,24,22,1,7,5,8
2024-06-07,5,22,3,12,66,7
2024-06-04,69,63,37,19,40,17
2024-05-31,33,4,49,11,23,23
2024-05-28,12,18,62,48,57,4
2024-05-24,54,56,67,70,46,16
2024-05-21,8,2,5,28,69,14
2024-05-17,8,60,70,17,40,3
2024-05-14,13,62,19,43,64,6
