Number,Count,Consecutive_Repeats,Repeat_Hits_In_Draw
11,11,0,0
34,11,1,0
39,12,1,0
22,13,0,0
27,13,0,0
52,13,0,0
5,14,2,0
9,14,2,0
12,15,1,0
23,15,1,0
24,15,1,0
47,15,3,0
53,15,3,0
10,16,1,0
26,16,2,0
28,16,1,0
33,16,2,0
36,16,0,0
37,16,1,0
41,16,0,0
43,16,3,0
49,16,1,0
56,16,1,0
14,17,2,0
16,17,0,0
31,17,2,0
48,17,2,0
51,17,1,0
58,17,0,0
19,18,1,0
20,18,0,0
38,18,0,0
40,18,3,0
46,18,2,0
50,18,4,0
15,19,0,0
44,19,3,0
57,19,1,0
4,20,3,0
6,20,2,0
7,20,2,0
8,20,2,0
18,20,2,0
21,20,6,0
29,20,1,0
30,20,4,0
25,21,4,0
32,21,1,0
42,21,2,0
45,21,4,0
2,22,2,0
35,22,5,0
13,23,5,0
17,23,3,0
54,23,0,0
3,24,6,0
1,25,2,0
55,26,5,0
